PartitionKey,RowKey,Timestamp,Idle,Idle@type,TenantId,TenantId@type,Usable,Usable@type
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-7bc9-5de5-6f8ded7c05c9,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-7d5f-5de5-6f8ded7c05ca,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-7ef9-5de5-6f8ded7c05cb,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-80f3-5de5-6f8ded7c05cc,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8261-5de5-6f8ded7c05cd,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-83db-5de5-6f8ded7c05ce,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8531-23e1-6f8ded7c0e36,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-866c-5de5-6f8ded7c05cf,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-87b5-23e1-6f8ded7c0e37,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-88f8-23e1-6f8ded7c0e38,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8a37-23e1-6f8ded7c0e39,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8b8f-5de5-6f8ded7c05d1,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8cec-5de5-6f8ded7c05d2,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8e49-23e1-6f8ded7c0e3a,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-8fba-23e1-6f8ded7c0e3b,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9152-23e1-6f8ded7c0e3c,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9293-23e1-6f8ded7c0e3d,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-93fe-23e1-6f8ded7c0e3e,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-953a-23e1-6f8ded7c0e3f,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-96a9-23e1-6f8ded7c0e40,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-982a-5de5-6f8ded7c05d3,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9963-5de5-6f8ded7c05d4,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9aa7-5de5-6f8ded7c05d5,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9bf5-5de5-6f8ded7c05d6,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9d39-5de5-6f8ded7c05d7,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-9e85-5de5-6f8ded7c05d8,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-a01e-5de5-6f8ded7c05d9,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-a16d-5de5-6f8ded7c05da,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-a2c9-23e1-6f8ded7c0e41,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-a427-23e1-6f8ded7c0e42,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
acs:d4054f04-f7e6-43ac-8ddb-58a565c9bc1a_00000031-1b44-a5a7-5de5-6f8ded7c05db,,2026-09-07T10:21:10.724768Z,true,Boolean,d4054f04-f7e6-43ac-8ddb-58a565c9bc1a,String,true,Boolean
