PartitionKey,RowKey,Timestamp,Idle,Idle@type,TenantId,TenantId@type,Usable,Usable@type
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-74a5-9de5-6f8ded7cd615,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-75c4-9de5-6f8ded7cd616,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-76d4-9de5-6f8ded7cd617,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-78b2-3eee-6f8ded7cd724,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-79d8-3eee-6f8ded7cd725,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-7aeb-3eee-6f8ded7cd726,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-7c75-3eee-6f8ded7cd727,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-7ee2-9de5-6f8ded7cd619,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-803f-9de5-6f8ded7cd61a,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-81b0-9de5-6f8ded7cd61b,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-82e2-9de5-6f8ded7cd61c,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-854a-9de5-6f8ded7cd61d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8680-9de5-6f8ded7cd61e,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-87b0-9de5-6f8ded7cd61f,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8949-9de5-6f8ded7cd620,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8a63-9de5-6f8ded7cd621,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8b6c-9de5-6f8ded7cd622,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8d49-9de5-6f8ded7cd623,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-8e81-9de5-6f8ded7cd624,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-901a-9de5-6f8ded7cd625,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-91b0-9de5-6f8ded7cd626,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-92e3-9de5-6f8ded7cd627,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-954e-9de5-6f8ded7cd628,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-97ad-9de5-6f8ded7cd629,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-98df-9de5-6f8ded7cd62a,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9a6a-9de5-6f8ded7cd62b,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9c79-9de5-6f8ded7cd62c,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9dab-3eee-6f8ded7cd729,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-9f41-3eee-6f8ded7cd72a,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a078-3eee-6f8ded7cd72b,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a1ac-3eee-6f8ded7cd72c,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a345-3eee-6f8ded7cd72d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
acs:77622155-52b6-441d-86ef-4c486b35dc15_00000031-2fb7-a4d5-9de5-6f8ded7cd62d,,2026-09-11T09:38:56.674961Z,true,Boolean,77622155-52b6-441d-86ef-4c486b35dc15,String,true,Boolean
